row,col,lat,lon,elevation_m,flow_accumulation_cells,catchment_km2,twi,slope_deg
2,29,12.866,80.292,0.0,11.0,8.2739,16.07,0.05
2,30,12.866,80.3,0.0,12.0,9.0261,16.16,0.05
2,31,12.866,80.308,0.0,13.0,9.7783,16.24,0.05
2,32,12.866,80.316,0.0,14.0,10.5305,16.31,0.05
3,0,12.874,80.06,23.0,13.0,9.7783,16.1,0.066
3,1,12.874,80.068,24.0,6.0,4.5131,14.98,0.093
3,2,12.874,80.076,30.0,3.0,2.2565,12.84,0.396
3,3,12.874,80.084,43.0,1.0,0.7522,10.97,0.859
3,4,12.874,80.092,43.0,1.0,0.7522,11.24,0.654
3,5,12.874,80.1,35.0,1.0,0.7522,11.74,0.396
3,6,12.874,80.108,29.0,2.0,1.5044,12.43,0.396
3,7,12.874,80.116,23.0,6.0,4.5131,14.22,0.198
3,8,12.874,80.124,20.0,15.0,11.2826,15.49,0.14
3,9,12.874,80.132,21.0,1.0,0.7522,11.92,0.33
3,10,12.874,80.14,16.0,2.0,1.5044,13.53,0.132
3,11,12.874,80.148,14.0,10.0,7.5218,15.14,0.132
3,12,12.874,80.156,12.0,45.0,33.8479,16.64,0.132
3,13,12.874,80.164,10.0,46.0,34.6001,17.5,0.05
3,14,12.874,80.172,10.0,47.0,35.3523,16.63,0.14
3,15,12.874,80.18,8.0,1.0,0.7522,12.43,0.198
3,16,12.874,80.188,5.0,71.0,53.4045,17.79,0.066
3,17,12.874,80.196,4.0,92.0,69.2002,18.05,0.066
3,18,12.874,80.204,3.0,95.0,71.4567,18.23,0.047
3,19,12.874,80.212,5.0,1.0,0.7522,12.43,0.198
3,20,12.874,80.22,8.0,1.0,0.7522,11.92,0.33
3,21,12.874,80.228,8.0,1.0,0.7522,11.93,0.327
3,22,12.874,80.236,4.0,1.0,0.7522,12.43,0.198
3,23,12.874,80.244,11.0,1.0,0.7522,11.13,0.727
3,24,12.874,80.252,0.0,3.0,2.2565,14.77,0.05
3,25,12.874,80.26,0.0,4.0,3.0087,15.06,0.05
3,26,12.874,80.268,0.0,5.0,3.7609,15.28,0.05
3,27,12.874,80.276,0.0,6.0,4.5131,15.46,0.05
3,28,12.874,80.284,0.0,7.0,5.2652,15.62,0.05
3,29,12.874,80.292,0.0,8.0,6.0174,15.75,0.05
3,30,12.874,80.3,0.0,9.0,6.7696,15.87,0.05
3,31,12.874,80.308,0.0,10.0,7.5218,15.98,0.05
3,32,12.874,80.316,0.0,11.0,8.2739,16.07,0.05
4,0,12.882,80.06,22.0,21.0,15.7957,16.57,0.066
4,1,12.882,80.068,30.0,1.0,0.7522,11.45,0.528
4,2,12.882,80.076,36.0,1.0,0.7522,11.33,0.595
4,3,12.882,80.084,39.0,1.0,0.7522,11.39,0.561
4,4,12.882,80.092,50.0,1.0,0.7522,10.49,1.387
4,5,12.882,80.1,29.0,3.0,2.2565,14.28,0.093
4,6,12.882,80.108,49.0,1.0,0.7522,10.31,1.651
4,7,12.882,80.116,24.0,2.0,1.5044,12.61,0.33
4,8,12.882,80.124,19.0,3.0,2.2565,13.94,0.132
4,9,12.882,80.132,17.0,30.0,22.5653,16.24,0.132
4,10,12.882,80.14,15.0,32.0,24.0696,17.0,0.066
4,11,12.882,80.148,14.0,33.0,24.8218,16.68,0.093
4,12,12.882,80.156,17.0,1.0,0.7522,11.92,0.33
4,13,12.882,80.164,15.0,1.0,0.7522,11.92,0.33
4,14,12.882,80.172,10.0,2.0,1.5044,13.12,0.198
4,15,12.882,80.18,7.0,69.0,51.9002,17.42,0.093
4,16,12.882,80.188,7.0,1.0,0.7522,12.78,0.14
4,17,12.882,80.196,14.0,1.0,0.7522,11.23,0.661
4,18,12.882,80.204,5.0,1.0,0.7522,12.43,0.198
4,19,12.882,80.212,2.0,98.0,73.7133,18.26,0.05
4,20,12.882,80.22,3.0,2.0,1.5044,14.22,0.066
4,21,12.882,80.228,7.0,1.0,0.7522,12.14,0.264
4,22,12.882,80.236,3.0,2.0,1.5044,14.37,0.047
4,23,12.882,80.244,4.0,1.0,0.7522,12.49,0.187
4,24,12.882,80.252,4.0,1.0,0.7522,12.14,0.264
4,25,12.882,80.26,0.0,2.0,1.5044,14.37,0.05
4,26,12.882,80.268,0.0,3.0,2.2565,14.77,0.05
4,27,12.882,80.276,0.0,4.0,3.0087,15.06,0.05
4,28,12.882,80.284,0.0,5.0,3.7609,15.28,0.05
4,29,12.882,80.292,0.0,6.0,4.5131,15.46,0.05
4,30,12.882,80.3,0.0,7.0,5.2652,15.62,0.05
4,31,12.882,80.308,0.0,8.0,6.0174,15.75,0.05
4,32,12.882,80.316,0.0,9.0,6.7696,15.87,0.05
5,0,12.89,80.06,21.0,23.0,17.3001,16.67,0.066
5,1,12.89,80.068,29.0,1.0,0.7522,11.45,0.528
5,2,12.89,80.076,27.0,3.0,2.2565,13.24,0.264
5,3,12.89,80.084,36.0,1.0,0.7522,11.31,0.607
5,4,12.89,80.092,79.0,1.0,0.7522,9.68,3.102
5,5,12.89,80.1,53.0,1.0,0.7522,10.27,1.717
5,6,12.89,80.108,27.0,5.0,3.7609,13.75,0.264
5,7,12.89,80.116,23.0,6.0,4.5131,14.22,0.198
5,8,12.89,80.124,20.0,10.0,7.5218,15.08,0.14
5,9,12.89,80.132,25.0,1.0,0.7522,11.45,0.528
5,10,12.89,80.14,23.0,1.0,0.7522,11.45,0.528
5,11,12.89,80.148,16.0,10.0,7.5218,15.14,0.132
5,12,12.89,80.156,14.0,13.0,9.7783,15.0,0.198
5,13,12.89,80.164,11.0,14.0,10.5305,15.48,0.132
5,14,12.89,80.172,9.0,19.0,14.2913,16.13,0.093
5,15,12.89,80.18,8.0,1.0,0.7522,12.78,0.14
5,16,12.89,80.188,11.0,1.0,0.7522,11.74,0.396
5,17,12.89,80.196,10.0,1.0,0.7522,11.74,0.396
5,18,12.89,80.204,4.0,2.0,1.5044,13.53,0.132
5,19,12.89,80.212,2.0,3.0,2.2565,14.77,0.05
5,20,12.89,80.22,3.0,5.0,3.7609,15.14,0.066
5,21,12.89,80.228,8.0,1.0,0.7522,11.92,0.33
5,22,12.89,80.236,8.0,1.0,0.7522,11.74,0.396
5,23,12.89,80.244,2.0,4.0,3.0087,15.06,0.05
5,24,12.89,80.252,5.0,5.0,3.7609,13.53,0.33
5,25,12.89,80.26,0.0,6.0,4.5131,15.46,0.05
5,26,12.89,80.268,0.0,7.0,5.2652,15.62,0.05
5,27,12.89,80.276,0.0,8.0,6.0174,15.75,0.05
5,28,12.89,80.284,0.0,9.0,6.7696,15.87,0.05
5,29,12.89,80.292,0.0,10.0,7.5218,15.98,0.05
5,30,12.89,80.3,0.0,11.0,8.2739,16.07,0.05
5,31,12.89,80.308,0.0,12.0,9.0261,16.16,0.05
5,32,12.89,80.316,0.0,13.0,9.7783,16.24,0.05
6,0,12.898,80.06,20.0,25.0,18.8044,16.06,0.132
6,1,12.898,80.068,27.0,1.0,0.7522,11.59,0.462
6,2,12.898,80.076,23.0,5.0,3.7609,14.04,0.198
6,3,12.898,80.084,30.0,1.0,0.7522,11.57,0.467
6,4,12.898,80.092,32.0,2.0,1.5044,12.09,0.561
6,5,12.898,80.1,37.0,1.0,0.7522,10.7,1.123
6,6,12.898,80.108,36.0,1.0,0.7522,11.11,0.747
6,7,12.898,80.116,29.0,1.0,0.7522,11.68,0.42
6,8,12.898,80.124,24.0,2.0,1.5044,12.84,0.264
6,9,12.898,80.132,23.0,1.0,0.7522,11.92,0.33
6,10,12.898,80.14,18.0,9.0,6.7696,15.38,0.093
6,11,12.898,80.148,18.0,2.0,1.5044,13.18,0.187
6,12,12.898,80.156,19.0,1.0,0.7522,11.74,0.396
6,13,12.898,80.164,13.0,3.0,2.2565,13.59,0.187
6,14,12.898,80.172,16.0,1.0,0.7522,11.59,0.462
6,15,12.898,80.18,12.0,1.0,0.7522,11.59,0.462
6,16,12.898,80.188,5.0,15.0,11.2826,16.38,0.05
6,17,12.898,80.196,5.0,16.0,12.0348,15.61,0.132
6,18,12.898,80.204,3.0,17.0,12.787,16.36,0.066
6,19,12.898,80.212,2.0,18.0,13.5392,16.56,0.05
6,20,12.898,80.22,2.0,24.0,18.0522,16.85,0.05
6,21,12.898,80.228,6.0,1.0,0.7522,12.14,0.264
6,22,12.898,80.236,3.0,1.0,0.7522,13.67,0.047
6,23,12.898,80.244,4.0,1.0,0.7522,12.84,0.132
6,24,12.898,80.252,11.0,1.0,0.7522,11.13,0.727
6,25,12.898,80.26,0.0,2.0,1.5044,14.37,0.05
6,26,12.898,80.268,0.0,3.0,2.2565,14.77,0.05
6,27,12.898,80.276,0.0,4.0,3.0087,15.06,0.05
6,28,12.898,80.284,0.0,5.0,3.7609,15.28,0.05
6,29,12.898,80.292,0.0,6.0,4.5131,15.46,0.05
6,30,12.898,80.3,0.0,7.0,5.2652,15.62,0.05
6,31,12.898,80.308,0.0,8.0,6.0174,15.75,0.05
6,32,12.898,80.316,0.0,9.0,6.7696,15.87,0.05
7,0,12.906,80.06,18.0,27.0,20.3088,16.83,0.066
7,1,12.906,80.068,21.0,1.0,0.7522,12.43,0.198
7,2,12.906,80.076,20.0,7.0,5.2652,15.62,0.05
7,3,12.906,80.084,26.0,1.0,0.7522,11.74,0.396
7,4,12.906,80.092,31.0,1.0,0.7522,11.13,0.727
7,5,12.906,80.1,20.0,6.0,4.5131,15.46,0.05
7,6,12.906,80.108,25.0,2.0,1.5044,12.61,0.33
7,7,12.906,80.116,35.0,1.0,0.7522,11.23,0.661
7,8,12.906,80.124,27.0,1.0,0.7522,12.43,0.198
7,9,12.906,80.132,33.0,1.0,0.7522,11.17,0.701
7,10,12.906,80.14,24.0,6.0,4.5131,13.53,0.396
7,11,12.906,80.148,25.0,1.0,0.7522,11.59,0.462
7,12,12.906,80.156,20.0,1.0,0.7522,11.93,0.327
7,13,12.906,80.164,20.0,1.0,0.7522,11.33,0.595
7,14,12.906,80.172,11.0,7.0,5.2652,14.78,0.132
7,15,12.906,80.18,9.0,10.0,7.5218,14.79,0.187
7,16,12.906,80.188,12.0,1.0,0.7522,11.59,0.462
7,17,12.906,80.196,15.0,1.0,0.7522,11.13,0.727
7,18,12.906,80.204,4.0,2.0,1.5044,13.47,0.14
7,19,12.906,80.212,2.0,1.0,0.7522,13.53,0.066
7,20,12.906,80.22,4.0,1.0,0.7522,12.78,0.14
7,21,12.906,80.228,9.0,1.0,0.7522,11.45,0.528
7,22,12.906,80.236,3.0,1.0,0.7522,13.18,0.093
7,23,12.906,80.244,2.0,3.0,2.2565,14.63,0.066
7,24,12.906,80.252,9.0,1.0,0.7522,11.33,0.595
7,25,12.906,80.26,0.0,2.0,1.5044,14.37,0.05
7,26,12.906,80.268,0.0,3.0,2.2565,14.77,0.05
7,27,12.906,80.276,0.0,4.0,3.0087,15.06,0.05
7,28,12.906,80.284,0.0,5.0,3.7609,15.28,0.05
7,29,12.906,80.292,0.0,6.0,4.5131,15.46,0.05
7,30,12.906,80.3,0.0,7.0,5.2652,15.62,0.05
7,31,12.906,80.308,0.0,8.0,6.0174,15.75,0.05
7,32,12.906,80.316,0.0,9.0,6.7696,15.87,0.05
8,0,12.914,80.06,17.0,28.0,21.0609,17.0,0.05
8,1,12.914,80.068,20.0,29.0,21.8131,15.8,0.198
8,2,12.914,80.076,20.0,1.0,0.7522,12.14,0.264
8,3,12.914,80.084,24.0,1.0,0.7522,11.8,0.374
8,4,12.914,80.092,24.0,1.0,0.7522,12.09,0.28
8,5,12.914,80.1,21.0,1.0,0.7522,12.43,0.198
8,6,12.914,80.108,26.0,2.0,1.5044,12.49,0.374
8,7,12.914,80.116,29.0,1.0,0.7522,12.43,0.198
