water_body_id,osm_id,osm_type,name,category,water_type,latitude,longitude,city
wb-way-384392610,384392610,way,Unnamed Pond (wb-way-384392610),pond,water,12.854466,80.203287,Chennai
wb-way-384392611,384392611,way,Unnamed Pond (wb-way-384392611),pond,water,12.862587,80.207474,Chennai
wb-way-384392612,384392612,way,Unnamed Pond (wb-way-384392612),pond,water,12.851698,80.208445,Chennai
wb-way-384392613,384392613,way,Unnamed Pond (wb-way-384392613),pond,water,12.854877,80.202467,Chennai
wb-way-384392615,384392615,way,Unnamed Pond (wb-way-384392615),pond,water,12.855957,80.203041,Chennai
wb-way-384392617,384392617,way,Unnamed Pond (wb-way-384392617),pond,water,12.85502,80.202934,Chennai
wb-way-384392620,384392620,way,Unnamed Pond (wb-way-384392620),pond,water,12.86241,80.207517,Chennai
wb-way-384392622,384392622,way,Unnamed Pond (wb-way-384392622),pond,water,12.853353,80.206091,Chennai
wb-way-384392625,384392625,way,Unnamed Pond (wb-way-384392625),pond,water,12.859305,80.200828,Chennai
wb-way-384394317,384394317,way,Kalappai Keni,pond,pond,12.893791,80.245696,Chennai
wb-way-384394319,384394319,way,Thenman Poigai Pond,pond,pond,12.885472,80.244248,Chennai
wb-way-384424974,384424974,way,Unnamed Pond (wb-way-384424974),pond,water,13.08512,80.14905,Chennai
wb-way-384437269,384437269,way,Unnamed Pond (wb-way-384437269),pond,water,12.962227,80.084593,Chennai
wb-way-384437270,384437270,way,Unnamed Pond (wb-way-384437270),pond,water,12.960624,80.075126,Chennai
wb-way-384437271,384437271,way,Unnamed Pond (wb-way-384437271),pond,water,12.964875,80.078895,Chennai
wb-way-384437272,384437272,way,Unnamed Pond (wb-way-384437272),pond,water,12.967019,80.080931,Chennai
wb-way-384437273,384437273,way,Unnamed Pond (wb-way-384437273),pond,water,12.962195,80.070428,Chennai
wb-way-384467380,384467380,way,Unnamed Lake (wb-way-384467380),lake,lake,12.981172,80.060967,Chennai
wb-way-384467381,384467381,way,Unnamed Lake (wb-way-384467381),lake,lake,12.978389,80.05517,Chennai
